RANK	TEAM	GM	OPPPTS	OPPPPG
185	Hofstra	32	2151	67.2
186	Hartford	31	2084	67.2
187	FIU	29	1951	67.3
188	La.-Lafayette	31	2087	67.3
189	Belmont	34	2289	67.3
190	Pacific	30	2022	67.4
191	Xavier	33	2226	67.5
192	Marshall	34	2297	67.6
193	Northern Ill.	31	2096	67.6
194	Detroit	35	2367	67.6
195	A&M-Corpus Chris	30	2030	67.7
196	UTSA	32	2168	67.8
197	Ga. Southern	30	2033	67.8
-	Ill.-Chicago	30	2033	67.8
199	Davidson	32	2169	67.8
200	Cornell	28	1898	67.8
201	Northwestern	31	2102	67.8
202	Southern Utah	31	2106	67.9
203	NJIT	32	2175	68.0
204	Saint Joseph's	33	2243	68.0
205	Western Ky.	33	2244	68.0
-	New Mexico St.	35	2380	68.0
207	North Carolina St.	34	2313	68.0
208	North Dakota St.	30	2041	68.0
209	Oklahoma St.	33	2247	68.1
210	Delaware	31	2113	68.2
211	Texas Tech	31	2114	68.2
212	Fla. Atlantic	30	2046	68.2
213	Col. of Charleston	31	2117	68.3
214	Alcorn St.	32	2187	68.3
215	Maine	29	1982	68.3
216	Colorado St.	31	2119	68.4
217	Eastern Ill.	29	1984	68.4
218	Duke	33	2259	68.5
219	Oklahoma	31	2123	68.5
220	Albany (NY)	33	2262	68.5
221	Boston College	31	2125	68.5
222	Tex.-Pan American	32	2194	68.6
223	Weber St.	30	2057	68.6
224	Radford	32	2195	68.6
225	S.C. Upstate	32	2198	68.7
226	St. Francis (NY)	30	2062	68.7
227	Charlotte	30	2066	68.9
228	Chattanooga	32	2204	68.9
229	Saint Peter's	31	2138	69.0
230	Sacramento St.	28	1936	69.1
231	Southern Ill.	31	2144	69.2
232	Providence	32	2216	69.3
233	Louisiana Tech	34	2355	69.3
234	Mississippi Val.	33	2286	69.3
235	CSU Bakersfield	30	2079	69.3
236	William & Mary	32	2220	69.4
237	Ark.-Pine Bluff	33	2291	69.4
238	Brown	31	2154	69.5
239	Creighton	33	2295	69.5
240	Morgan St.	29	2017	69.6
-	Saint Francis (PA)	29	2017	69.6
242	Army	30	2091	69.7
243	Utah	31	2161	69.7
244	Arkansas	32	2231	69.7
-	Towson	32	2231	69.7
246	Samford	30	2092	69.7
247	James Madison	32	2235	69.8
248	Western Mich.	34	2375	69.9
249	Temple	31	2167	69.9
250	Northwestern St.	32	2239	70.0
251	Southeast Mo. St.	31	2170	70.0
252	Washington	31	2172	70.1
253	Howard	31	2174	70.1
254	Alabama A&M	28	1964	70.1
255	Appalachian St.	31	2175	70.2
256	High Point	31	2176	70.2
257	Western Caro.	35	2459	70.3
258	Central Conn. St.	29	2038	70.3
259	San Diego	31	2179	70.3
260	Md.-East. Shore	30	2109	70.3
261	Wake Forest	31	2182	70.4
262	San Francisco	33	2326	70.5
263	Bradley	32	2256	70.5
264	Villanova	32	2258	70.6
265	Cal St. Fullerton	30	2117	70.6
266	UNC Wilmington	31	2189	70.6
267	Maryland	32	2263	70.7
268	Binghamton	31	2193	70.7
269	North Florida	32	2266	70.8
270	St. John's (NY)	32	2268	70.9
271	UMKC	31	2204	71.1
272	TCU	31	2205	71.1
273	Northern Ariz.	29	2068	71.3
274	Iowa	33	2354	71.3
-	UNC Asheville	33	2354	71.3
276	Liberty	32	2283	71.3
-	Tennessee Tech	32	2283	71.3
278	Eastern Wash.	32	2284	71.4
279	Grambling	28	2001	71.5
280	Fordham	29	2074	71.5
281	Houston	30	2147	71.6
282	La.-Monroe	29	2078	71.7
283	Elon	31	2226	71.8
284	Massachusetts	33	2373	71.9
285	Citadel	30	2158	71.9
286	Evansville	31	2230	71.9
287	Montana St.	29	2088	72.0
-	Duquesne	31	2232	72.0
289	Fla. Gulf Coast	32	2306	72.1
290	UC Irvine	32	2309	72.2
291	Charleston So.	31	2242	72.3
292	Jacksonville	30	2173	72.4
293	Sacred Heart	32	2319	72.5
294	Iona	32	2322	72.6
295	Austin Peay	32	2324	72.6
296	N.C. A&T	32	2326	72.7
297	Fairleigh Dickinson	29	2108	72.7
298	IUPUI	32	2329	72.8
299	Oregon St.	33	2405	72.9
300	Lafayette	31	2260	72.9
301	Marist	32	2333	72.9
302	San Jose St.	31	2261	72.9
303	Idaho St.	30	2192	73.1
304	Florida A&M	33	2416	73.2
305	Portland St.	32	2345	73.3
306	Colgate	30	2209	73.6
307	Campbell	32	2361	73.8
308	Niagara	33	2448	74.2
309	Lipscomb	31	2303	74.3
310	UC Davis	31	2307	74.4
311	Hawaii	32	2387	74.6
-	Rider	32	2387	74.6
313	IPFW	30	2242	74.7
314	Texas St.	30	2243	74.8
315	Santa Clara	30	2245	74.8
316	Cal St. Northridge	28	2101	75.0
317	UT Martin	31	2327	75.1
318	Kennesaw St.	31	2330	75.2
319	Coppin St.	30	2257	75.2
320	Northern Colo.	28	2112	75.4
321	Rhode Island	31	2339	75.5
322	Monmouth	32	2420	75.6
323	Canisius	30	2271	75.7
324	Troy	28	2122	75.8
325	Portland	31	2357	76.0
326	DePaul	31	2378	76.7
327	UNC Greensboro	32	2457	76.8
328	UMBC	30	2312	77.1
329	Chicago St.	30	2313	77.1
330	LIU Brooklyn	33	2552	77.3
331	Nicholls St.	30	2338	77.9
332	South Carolina St.	30	2341	78.0
333	Houston Baptist	30	2344	78.1
334	Stetson	29	2275	78.4
335	Oakland	32	2511	78.5
336	VMI	33	2660	80.6
337	Central Ark.	29	2371	81.8
338	Longwood	31	2617	84.4
